year,round,pick,team,player,overall_rank,pos,dob,bt,school_committed,school,conference,slot_value,expected_signing,signing_bonus,pool_impact,pool_round,diff_from_slot,hs,classification,juco,signed,player_age,rank_minus_pick,code_round,code_age,code_dist
2022,1,16,Cleveland Guardians,Chase DeLauter,18,OF,2001-10-08,L/L,,James Madison,Sun Belt,3937600,3937600,3800000,-3800000,Yes,-0.034945144250304754,False,4YR JR,No,Yes,20.786301369863015,2,V,J,Q
2022,1,17,Philadelphia Phillies,Justin Crawford,17,OF,2004-01-13,L/R,LSU,,,3794800,3794800,3900000,-3900000,Yes,0.027722146094655845,True,HS SR,No,Yes,18.52054794520548,0,V,H,P
2022,1,18,Cincinnati Reds,Cam Collier,8,3B,2004-11-20,L/R,Louisville,,,3659800,3659800,5000000,-5000000,Yes,0.3661948740368326,False,JC J1,Yes,Yes,17.665753424657535,-10,V,G,P
2022,1,19,Oakland Athletics,Daniel Susac,11,C,2001-05-14,R/R,,Arizona,Pac-12,3531200,3531200,3500000,-3500000,Yes,-0.008835523334843678,False,4YR SO,No,Yes,21.18904109589041,-8,V,K,P
2022,1,20,Atlanta Braves,Owen Murphy,53,P,2003-09-27,R/R,Notre Dame,,,3409200,3409200,2600000,-2600000,Yes,-0.23735773788572098,True,HS SR,No,Yes,18.816438356164383,33,V,H,Q
2022,1,21,Seattle Mariners,Cole Young,14,SS,2003-07-29,L/R,Duke,,,3292900,3292900,3300000,-3300000,Yes,0.002156154149837529,True,HS SR,No,Yes,18.980821917808218,-7,A,H,P
2022,1,22,St. Louis Cardinals,Cooper Hjerpe,31,P,2001-03-16,L/L,,Oregon State,Pac-12,3182200,3182200,3200000,-3200000,Yes,0.005593614480548049,False,4YR JR,No,Yes,21.350684931506848,9,A,K,Q
2022,1,23,Toronto Blue Jays,Brandon Barriera,24,P,2004-03-04,L/L,Vanderbilt,,,3076900,3076900,3600000,-3600000,Yes,0.170008775065813,True,HS SR,No,Yes,18.38082191780822,1,A,H,Q
2022,1,24,Boston Red Sox,Mikey Romero,79,SS,2004-01-12,L/R,LSU,,,2976400,2976400,2300000,-2300000,Yes,-0.22725440129014918,True,HS SR,No,Yes,18.523287671232875,55,A,H,R
2022,1,25,New York Yankees,Spencer Jones,66,OF,2001-05-14,L/L,,Vanderbilt,SEC,2880800,2880800,2900000,-2900000,Yes,0.006664815329075257,False,4YR JR,No,Yes,21.18904109589041,41,A,K,Q
2022,1,26,Chicago White Sox,Noah Schultz,45,P,2003-08-05,L/L,Vanderbilt,,,2789400,2789400,2800000,-2800000,Yes,0.003800100380010038,True,HS SR,No,Yes,18.96164383561644,19,A,H,Q
2022,1,27,Milwaukee Brewers,Eric Brown,55,SS,2000-12-19,R/R,,Coastal Carolina,Sun Belt,2701900,2701900,2100000,-2100000,Yes,-0.22276916244124506,False,4YR JR,No,Yes,21.589041095890412,28,A,K,Q
2022,1,28,Houston Astros,Drew Gilbert,21,OF,2000-09-27,L/L,,Tennessee,SEC,2621700,2621700,2500000,-2500000,Yes,-0.0464202616622802,False,4YR JR,No,Yes,21.816438356164383,-7,A,K,P
2022,1,29,Tampa Bay Rays,Xavier Isaac,94,1B,2003-12-17,L/L,Florida,,,2548900,2548900,2500000,-2500000,Yes,-0.019184746361175408,True,HS SR,No,Yes,18.594520547945205,65,A,H,R
2022,1,30,San Francisco Giants,Reggie Crawford,57,P,2000-12-04,L/L,,Connecticut,Big East,2486800,2486800,2300000,-2300000,Yes,-0.07511661573106,False,4YR JR,No,Yes,21.63013698630137,27,A,K,Q
2022,1,31,Colorado Rockies,Sterlin Thompson,37,OF,2001-06-26,L/R,,Florida,SEC,2430500,2430500,2400000,-2400000,Yes,-0.012548858259617362,False,4YR SO,No,Yes,21.07123287671233,6,A,K,Q
2022,1,32,Cincinnati Reds,Sal Stewart,61,3B,2003-12-07,R/R,Vanderbilt,,,2373000,2373000,2100000,-2100000,Yes,-0.11504424778761062,True,HS SR,No,Yes,18.621917808219177,29,A,H,Q
2022,1,33,Baltimore Orioles,Dylan Beavers,26,OF,2001-08-11,L/R,,California,Pac-12,2315100,2315100,2200000,-2200000,Yes,-0.04971707485637769,False,4YR JR,No,Yes,20.945205479452056,-7,A,J,P
2022,1,34,Arizona Diamondbacks,Landon Sims,22,P,2001-01-03,R/R,,Mississippi State,SEC,2258300,2258300,2300000,-2300000,Yes,0.01846521719877784,False,4YR JR,No,Yes,21.54794520547945,-12,A,K,P
2022,1,35,Atlanta Braves,JR Ritchie,52,P,2003-06-26,R/R,UCLA,,,2203200,2203200,2400000,-2400000,Yes,0.08932461873638345,True,HS SR,No,Yes,19.07123287671233,17,A,I,Q
2022,1,36,Pittsburgh Pirates,Thomas Harrington,48,P,2001-07-12,R/R,,Campbell,Big South,2150300,2150300,2100000,-2100000,Yes,-0.023392084825373204,False,4YR SO,No,Yes,21.027397260273972,12,A,K,Q
2022,1,37,Cleveland Guardians,Justin Campbell,27,P,2001-02-14,L/R,,Oklahoma State,Big 12,2101800,2101800,1700000,-1700000,Yes,-0.1911694737843753,False,4YR JR,No,Yes,21.432876712328767,-10,A,K,P
2022,1,38,Colorado Rockies,Jordan Beck,33,RF,2001-04-19,R/R,,Tennessee,SEC,2052300,2052300,2200000,-2200000,Yes,0.07196803586220338,False,4YR JR,No,Yes,21.257534246575343,-5,A,K,P
2022,1,39,San Diego Padres,Robby Snelling,23,P,2003-12-19,R/L,LSU,,,2004500,2004500,3000000,-3000000,Yes,0.49663257670241956,True,HS SR,No,Yes,18.589041095890412,-16,A,H,P
2022,2,40,Los Angeles Dodgers,Dalton Rushing,44,C,2001-02-21,L/R,,Louisville,ACC,1951900,1951900,2000000,-2000000,Yes,0.024642655873764026,False,4YR JR,No,Yes,21.413698630136988,4,B,K,Q
2022,2,41,Boston Red Sox,Cutter Coffey,64,SS,2004-05-21,R/R,Texas,,,1906500,1906500,1900000,-1900000,Yes,-0.0034093889325990034,True,HS SR,No,Yes,18.167123287671235,23,B,H,Q
2022,2,42,Baltimore Orioles,Max Wagner,72,3B,2001-08-19,R/R,,Clemson,ACC,1861900,1861900,1900000,-1900000,Yes,0.020462967935979376,False,4YR SO,No,Yes,20.923287671232877,30,B,J,Q
2022,2,43,Arizona Diamondbacks,Ivan Melendez,51,1B,2000-01-24,R/R,,Texas,Big 12,1818500,1818500,1400000,-1400000,Yes,-0.230134726422876,False,4YR SR,No,Yes,22.493150684931507,8,B,L,Q
2022,2,44,Pittsburgh Pirates,Hunter Barco,70,P,2000-12-15,L/L,,Florida,SEC,1776100,1776100,1500000,-1500000,Yes,-0.15545295872980125,False,4YR JR,No,Yes,21.6,26,B,K,Q
2022,2,45,Washington Nationals,Jake Bennett,63,P,2000-12-02,L/L,,Oklahoma,Big 12,1734800,1734800,1700000,-1700000,Yes,-0.02005994927369149,False,4YR JR,No,Yes,21.635616438356163,18,B,K,Q
2022,2,46,Miami Marlins,Jacob Miller,34,P,2003-08-10,R/R,Louisville,,,1700400,1700400,1700000,-1700000,Yes,-0.0002352387673488591,True,HS SR,No,Yes,18.947945205479453,-12,B,H,P
2022,2,47,Chicago Cubs,Jackson Ferris,36,P,2004-01-15,L/L,Ole Miss,,,1661200,1661200,3000000,-3000000,Yes,0.8059234288466169,True,HS SR,No,Yes,18.515068493150686,-11,B,H,P
2022,2,48,Minnesota Twins,Connor Prielipp,38,P,2001-01-10,L/L,,Alabama,SEC,1622700,1622700,1800000,-1800000,Yes,0.10926234054353855,False,4YR JR,No,Yes,21.528767123287672,-10,B,K,P
2022,2,49,Kansas City Royals,Cayden Wallace,54,3B,2001-08-07,R/R,,Arkansas,SEC,1584900,1584900,1700000,-1700000,Yes,0.07262287841504196,False,4YR SO,No,Yes,20.956164383561642,5,B,J,Q
2022,2,50,Colorado Rockies,Jackson Cox,43,P,2003-09-25,R/R,Oregon,,,1545300,1545300,1900000,-1900000,Yes,0.22953471817770013,True,HS SR,No,Yes,18.82191780821918,-7,B,H,P
2022,2,51,Detroit Tigers,Peyton Graham,35,3B,2001-01-26,R/R,,Oklahoma,Big 12,1510600,1510600,1800000,-1800000,Yes,0.19157950483251687,False,4YR JR,No,Yes,21.484931506849314,-16,B,K,P
2022,2,52,New York Mets,Blade Tidwell,28,P,2001-06-08,R/R,,Tennessee,SEC,1475100,1475100,1900000,-1900000,Yes,0.2880482679140397,False,4YR SO,No,Yes,21.12054794520548,-24,B,K,P
2022,2,53,San Diego Padres,Adam Mazur,58,P,2001-04-20,R/R,,Iowa,Big Ten,1440600,1440600,1300000,-1300000,Yes,-0.09759822296265445,False,4YR JR,No,Yes,21.254794520547946,5,B,K,Q
2022,2,54,Cleveland Guardians,Parker Messick,76,P,2000-10-26,L/L,,Florida State,ACC,1407100,1407100,1300000,-1300000,Yes,-0.0761139933195935,False,4YR JR,No,Yes,21.736986301369864,22,B,K,Q
2022,2,55,Cincinnati Reds,Logan Tanner,69,C,2000-11-10,R/R,,Mississippi State,SEC,1374000,1374000,1000000,-1000000,Yes,-0.27219796215429404,False,4YR JR,No,Yes,21.695890410958903,14,B,K,Q
2022,2,56,Oakland Athletics,Henry Bolte,42,OF,2003-08-04,R/R,Texas,,,1341900,1341900,2000000,-2000000,Yes,0.49042402563529325,True,HS SR,No,Yes,18.964383561643835,-14,B,H,P
2022,2,57,Atlanta Braves,Cole Phillips,81,P,2003-05-26,R/R,Arkansas,,,1307300,1307300,1500000,-1500000,Yes,0.1474030444427446,True,HS SR,No,Yes,19.156164383561645,24,B,I,Q
2022,2,58,Seattle Mariners,Tyler Locklear,113,3B,2000-11-24,R/R,,VCU,Atlantic 10,1276500,1276500,1300000,-1300000,Yes,0.018409714061887975,False,4YR JR,No,Yes,21.65753424657534,55,B,K,R
2022,2,59,St. Louis Cardinals,Brycen Mautz,97,P,2001-07-17,L/L,,San Diego,WCC,1246200,1246200,1100000,-1100000,Yes,-0.11731664259348419,False,4YR JR,No,Yes,21.013698630136986,38,B,K,Q
2022,2,60,Toronto Blue Jays,Josh Kasevich,47,SS,2001-01-17,R/R,,Oregon,Pac-12,1216700,1216700,1000000,-1000000,Yes,-0.1781047094600148,False,4YR JR,No,Yes,21.50958904109589,-13,B,K,P
2022,2,61,New York Yankees,Drew Thorpe,60,P,2000-10-01,L/R,,Cal Poly,Big West,1187600,1187600,1200000,-1200000,Yes,0.010441226002020883,False,4YR JR,No,Yes,21.805479452054794,-1,B,K,P
2022,2,62,Chicago White Sox,Peyton Pallette,39,P,2001-05-09,R/R,,Arkansas,SEC,1159200,1159200,1500000,-1500000,Yes,0.2939958592132505,False,4YR JR,No,Yes,21.202739726027396,-23,B,K,P
2022,2,63,Milwaukee Brewers,Jacob Misiorowski,68,P,2002-04-03,R/R,LSU,,,1131500,1131500,2400000,-2400000,Yes,1.1210782147591691,False,JC J2,Yes,Yes,20.301369863013697,5,B,J,Q
2022,2,64,Houston Astros,Jacob Melton,25,CF,2000-09-07,L/L,,Oregon State,Pac-12,1104100,1104100,1000000,-1000000,Yes,-0.09428493795851825,False,4YR SR,No,Yes,21.87123287671233,-39,B,K,P
2022,2,65,Tampa Bay Rays,Brock Jones,29,OF,2001-03-28,L/L,,Stanford,Pac-12,1077600,1077600,1100000,-1100000,Yes,0.020786933927245732,False,4YR JR,No,Yes,21.317808219178083,-36,B,K,P
2022,2,66,San Francisco Giants,Carson Whisenhunt,30,P,2000-10-20,L/L,,East Carolina,AAC,1054700,1054700,1900000,-1900000,Yes,0.8014601308428937,False,4YR JR,No,Yes,21.753424657534246,-36,B,K,P
2022,2,67,Baltimore Orioles,Jud Fabian,59,OF,2000-09-27,R/L,,Florida,SEC,1026800,1026800,1000000,-1000000,Yes,-0.026100506427736658,False,4YR JR,No,Yes,21.816438356164383,-8,B,K,P
2022,2,68,Minnesota Twins,Tanner Schobel,78,SS,2001-06-04,R/R,,Virginia Tech,ACC,1002000,1002000,1000000,-1000000,Yes,-0.001996007984031936,False,4YR SO,No,Yes,21.13150684931507,10,B,K,Q
2022,2,69,Oakland Athletics,Clark Elliott,105,OF,2000-09-29,L/R,,Michigan,Big Ten,977500,977500,900000,-900000,Yes,-0.0792838874680307,False,4YR JR,No,Yes,21.81095890410959,36,B,K,Q
2022,2,70,Tampa Bay Rays,Chandler Simpson,90,SS,2000-11-18,L/R,,Georgia Tech,ACC,953300,953300,750000,-750000,Yes,-0.21325920486730304,False,4YR JR,No,Yes,21.673972602739727,20,B,K,Q
2022,2,71,Tampa Bay Rays,Ryan Cermak,40,OF,2001-06-02,R/R,,Illinois State,MVC,929500,929500,750000,-750000,Yes,-0.19311457772996235,False,4YR JR,No,Yes,21.136986301369863,-31,B,K,P
2022,2,72,Milwaukee Brewers,Robert Moore,100,2B,2002-03-31,S/R,,Arkansas,SEC,915300,915300,800000,-800000,Yes,-0.1259696274445537,False,4YR JR,No,Yes,20.30958904109589,28,B,J,Q
2022,2,73,Cincinnati Reds,Justin Boyd,321,OF,2001-03-30,R/R,,Oregon State,Pac-12,901300,901300,850000,-850000,Yes,-0.05691778542105847,False,4YR JR,No,Yes,21.312328767123287,248,B,K,R
2022,2,74,Seattle Mariners,Walter Ford,49,P,2004-12-28,R/R,Alabama,,,887400,887400,1300000,-1300000,Yes,0.4649537976109984,True,HS SR,No,Yes,17.561643835616437,-25,B,G,P
2022,2,75,New York Mets,Nick Morabito,84,SS,2003-05-07,R/R,Virginia Tech,,,873700,873700,1000000,-1000000,Yes,0.14455762847659379,True,HS SR,No,Yes,19.208219178082192,9,B,I,Q
2022,2,76,Atlanta Braves,Blake Burkhalter,387,P,2000-09-19,R/R,,Auburn,SEC,860100,860100,650000,-650000,Yes,-0.24427392163701894,False,4YR JR,No,Yes,21.838356164383562,311,B,K,R
2022,2,77,Toronto Blue Jays,Tucker Toman,41,SS,2003-11-12,S/R,LSU,,,846900,846900,2000000,-2000000,Yes,1.3615539024678238,True,HS SR,No,Yes,18.69041095890411,-36,B,H,P
2022,2,78,Toronto Blue Jays,Cade Doughty,56,2B,2001-03-26,R/R,,LSU,SEC,833600,833600,830000,-830000,Yes,-0.004318618042226488,False,4YR JR,No,Yes,21.323287671232876,-22,B,K,P
2022,2,79,Boston Red Sox,Roman Anthony,74,OF,2004-05-13,L/R,Ole Miss,,,820400,820400,2500000,-2500000,Yes,2.047294002925402,True,HS SR,No,Yes,18.18904109589041,-5,B,H,P
2022,2,80,Houston Astros,Andrew Taylor,141,P,2001-09-23,R/R,,Central Michigan,MAC,807200,807200,810000,-810000,Yes,0.003468780971258672,False,4YR JR,No,Yes,20.827397260273973,61,B,J,R
2022,3,81,Baltimore Orioles,Nolan McLean,131,P,2001-07-24,R/R,,Oklahoma State,Big 12,794000,794000,,-794000,Yes,,False,4YR SO,No,No,20.994520547945207,50,B,J,Q
2022,3,82,Arizona Diamondbacks,Nate Savino,117,P,2002-01-24,L/L,,Virginia,ACC,782400,782400,700000,-700000,Yes,-0.10531697341513292,False,4YR JR,No,Yes,20.49041095890411,35,B,J,Q
2022,3,83,Pittsburgh Pirates,Jack Brannigan,154,3B,2001-03-11,R/R,,Notre Dame,ACC,770700,770700,770000,-770000,Yes,-0.0009082652134423251,False,4YR JR,No,Yes,21.364383561643837,71,B,K,R
2022,3,84,Washington Nationals,Trey Lipscomb,137,3B,2000-06-14,R/R,,Tennessee,SEC,758900,758900,760000,-760000,Yes,0.001449466332850178,False,4YR SR,No,Yes,22.104109589041094,53,B,L,R
2022,3,85,Miami Marlins,Karson Milbrandt,101,P,2004-04-21,R/R,Vanderbilt,,,747100,747100,1500000,-1500000,Yes,1.0077633516262883,True,HS SR,No,Yes,18.24931506849315,16,B,H,Q
2022,3,86,Chicago Cubs,Christopher Paciolla,125,SS,2004-03-16,R/R,UCLA,,,735500,735500,900000,-900000,Yes,0.22365737593473828,True,HS SR,No,Yes,18.34794520547945,39,B,H,Q
2022,3,87,Kansas City Royals,Mason Barnett,379,P,2000-11-07,R/R,,Auburn,SEC,724600,724600,700000,-700000,Yes,-0.03394976538780017,False,4YR JR,No,Yes,21.704109589041096,292,B,K,R
2022,3,88,Colorado Rockies,Carson Palmquist,89,P,2000-10-17,L/L,,Miami,ACC,713300,713300,780000,-780000,Yes,0.09350904247862049,False,4YR JR,No,Yes,21.76164383561644,1,B,K,Q
2022,3,89,Los Angeles Angels,Ben Joyce,83,P,2000-09-17,R/R,,Tennessee,SEC,702100,702100,1000000,-1000000,Yes,0.424298532972511,False,4YR SR,No,Yes,21.843835616438355,-6,B,K,P
2022,3,90,New York Mets,Brandon Sproat,50,P,2000-09-17,R/R,,Florida,SEC,691300,691300,,-691300,Yes,,False,4YR JR,No,No,21.843835616438355,-40,B,K,P
2022,3,91,San Diego Padres,Henry Williams,179,P,2001-09-18,R/R,,Duke,ACC,680400,680400,800000,-800000,Yes,0.17577895355673134,False,4YR JR,No,Yes,20.84109589041096,88,B,J,R
2022,3,92,Cleveland Guardians,Joe Lampe,75,OF,2000-12-05,L/R,,Arizona State,Pac-12,670200,670200,800000,-800000,Yes,0.19367353028946582,False,4YR JR,No,Yes,21.627397260273973,-17,B,K,P
2022,3,93,Philadelphia Phillies,Gabriel Rincones,107,OF,2001-03-03,L/R,,Florida Atlantic,C-USA,660100,660100,630000,-630000,Yes,-0.04559915164369035,False,4YR JR,No,Yes,21.386301369863013,14,B,K,Q
2022,3,94,Cincinnati Reds,Bryce Hubbart,80,P,2001-06-28,L/L,,Florida State,ACC,649900,649900,520000,-520000,Yes,-0.1998769041390983,False,4YR JR,No,Yes,21.065753424657533,-14,B,K,P
2022,3,95,Oakland Athletics,Colby Thomas,159,OF,2001-01-26,R/R,,Mercer,SoCon,642100,642100,750000,-750000,Yes,0.16804236100295905,False,4YR JR,No,Yes,21.484931506849314,64,B,K,R
2022,3,96,Atlanta Braves,Drake Baldwin,138,C,2001-03-28,L/R,,Missouri State,MVC,635800,635800,630000,-630000,Yes,-0.009122365523749607,False,4YR JR,No,Yes,21.317808219178083,42,B,K,Q
2022,3,97,St. Louis Cardinals,Pete Hansen,140,P,2000-07-28,R/L,,Texas,Big 12,629800,629800,630000,-630000,Yes,0.00031756113051762465,False,4YR JR,No,Yes,21.983561643835618,43,B,K,Q
2022,3,98,Toronto Blue Jays,Alan Roden,293,OF,1999-12-22,L/R,,Creighton,Big East,623500,623500,500000,-500000,Yes,-0.19807538091419408,False,4YR SR,No,Yes,22.583561643835615,195,B,L,R
2022,3,99,Boston Red Sox,Dalton Rogers,377,P,2001-01-18,R/L,,Southern Miss,C-USA,617500,617500,450000,-450000,Yes,-0.27125506072874495,False,4YR JR,No,Yes,21.506849315068493,278,B,K,R
2022,3,100,New York Yankees,Trystan Vrieling,103,P,2000-10-02,R/R,,Gonzaga,WCC,611400,611400,610000,-610000,Yes,-0.002289826627412496,False,4YR JR,No,Yes,21.802739726027397,3,B,K,Q
2022,3,101,Chicago White Sox,Jonathan Cannon,46,P,2000-07-19,R/R,,Georgia,SEC,606600,606600,930000,-930000,Yes,0.533135509396637,False,4YR JR,No,Yes,22.008219178082193,-55,B,L,O
2022,3,102,Milwaukee Brewers,Dylan O'Rae,,SS,2004-02-14,L/R,,,,600700,600700,600000,-600000,Yes,-0.001165307141668054,True,HS SR,No,Yes,18.432876712328767,,B,H,N
2022,3,103,Houston Astros,Michael Knorr,128,P,2000-05-12,R/R,,Coastal Carolina,Sun Belt,594600,594600,490000,-490000,Yes,-0.17591658257652204,False,4YR SR,No,Yes,22.194520547945206,25,B,L,Q
2022,3,104,Tampa Bay Rays,Trevor Martin,197,P,2000-12-15,R/R,,Oklahoma State,Big 12,588700,588700,590000,-590000,Yes,0.002208255478172244,False,4YR SO,No,Yes,21.6,93,B,K,R
2022,3,105,Los Angeles Dodgers,Alex Freeland,289,SS,2001-08-24,S/R,,UCF,AAC,582700,582700,580000,-580000,Yes,-0.004633602196670671,False,4YR SO,No,Yes,20.90958904109589,184,B,J,R
2022,3,106,San Francisco Giants,William Kempner,249,P,2001-06-18,R/R,,Gonzaga,WCC,577200,577200,530000,-530000,Yes,-0.08177408177408177,False,4YR JR,No,Yes,21.09315068493151,143,B,K,R
2022,4,107,Baltimore Orioles,Silas Ardoin,123,C,2000-09-19,R/R,,Texas,Big 12,571400,571400,570000,-570000,Yes,-0.002450122506125306,False,4YR JR,No,Yes,21.838356164383562,16,C,K,Q
2022,4,108,Arizona Diamondbacks,Dylan Ray,512,P,2001-05-09,R/R,,Alabama,SEC,565800,565800,570000,-570000,Yes,0.007423117709437964,False,4YR SO,No,Yes,21.202739726027396,404,C,K,R
2022,4,109,Texas Rangers,Brock Porter,12,P,2003-06-03,R/R,Clemson,,,560200,560200,3700000,-3700000,Yes,5.604784005712245,True,HS SR,No,Yes,19.134246575342466,-97,C,I,O
2022,4,110,Pittsburgh Pirates,Michael Kennedy,114,P,2004-11-30,L/L,LSU,,,554800,554800,1000000,-1000000,Yes,0.802451333813987,True,HS SR,No,Yes,17.638356164383563,4,C,G,Q
2022,4,111,Washington Nationals,Brenner Cox,349,OF,2004-05-11,L/R,Texas,,,549300,549300,1000000,-1000000,Yes,0.8204988166757692,True,HS SR,No,Yes,18.194520547945206,238,C,H,R
2022,4,112,Miami Marlins,Marcus Johnson,129,P,2000-12-11,R/R,,Duke,ACC,543800,543800,510000,-510000,Yes,-0.06215520411916146,False,4YR JR,No,Yes,21.610958904109587,17,C,K,Q
2022,4,113,Chicago Cubs,Nazier Mule,98,P,2004-10-15,R/R,Miami,,,538600,538600,1000000,-1000000,Yes,0.8566654288897141,True,HS SR,No,Yes,17.764383561643836,-15,C,G,P
2022,4,114,Minnesota Twins,Andrew Morris,315,P,2001-09-01,R/R,,Texas Tech,Big 12,533300,533300,500000,-500000,Yes,-0.06244140258766173,False,4YR SR,No,Yes,20.887671232876713,201,C,J,R
2022,4,115,Kansas City Royals,Steven Zobac,252,P,2000-10-14,L/R,,California,Pac-12,528000,528000,500000,-500000,Yes,-0.05303030303030303,False,4YR JR,No,Yes,21.76986301369863,137,C,K,R
2022,4,116,Colorado Rockies,Ryan Ritter,115,SS,2000-11-10,R/R,,Kentucky,SEC,522900,522900,530000,-530000,Yes,0.013578122011856951,False,4YR JR,No,Yes,21.695890410958903,-1,C,K,P
2022,4,117,Detroit Tigers,Troy Melton,102,P,2000-12-03,R/R,,San Diego State,MWC,517900,517900,520000,-520000,Yes,0.004054836841089014,False,4YR SR,No,Yes,21.632876712328766,-15,C,K,P
2022,4,118,Los Angeles Angels,Jake Madden,86,P,2001-12-26,R/R,Alabama,,,512900,512900,1000000,-1000000,Yes,0.9496977968414896,False,JC J1,Yes,Yes,20.56986301369863,-32,C,J,P
2022,4,119,New York Mets,Jacob Reimer,134,3B,2004-02-22,R/R,Washington,,,507700,507700,780000,-780000,Yes,0.536340358479417,True,HS SR,No,Yes,18.410958904109588,15,C,H,Q
2022,4,120,San Diego Padres,Lamar King,201,C,2003-12-07,R/R,Georgia Tech,,,502800,502800,500000,-500000,Yes,-0.005568814638027049,True,HS SR,No,Yes,18.621917808219177,81,C,H,R
2022,4,121,Cleveland Guardians,Nate Furman,524,2B,2001-07-23,L/R,,Charlotte,C-USA,497900,497900,300000,-300000,Yes,-0.3974693713597108,False,4YR SO,No,Yes,20.997260273972604,403,C,J,R
2022,4,122,Philadelphia Phillies,Alex McFarlane,112,P,2001-06-09,R/R,,Miami,ACC,493000,493000,580000,-580000,Yes,0.17647058823529413,False,4YR JR,No,Yes,21.117808219178084,-10,C,K,P
2022,4,123,Cincinnati Reds,Kenya Huggins,244,P,2002-12-12,R/R,Louisiana Tech,,,488300,488300,410000,-410000,Yes,-0.160352242473889,False,JC J1,Yes,Yes,19.60821917808219,121,C,I,R
2022,4,124,Oakland Athletics,Jacob Watters,130,P,2001-03-03,R/R,,West Virginia,Big 12,483500,483500,490000,-490000,Yes,0.01344364012409514,False,4YR JR,No,Yes,21.386301369863013,6,C,K,Q
2022,4,125,Atlanta Braves,David McCabe,328,3B,2000-03-25,S/R,,Charlotte,C-USA,478900,478900,480000,-480000,Yes,0.0022969304656504487,False,4YR JR,No,Yes,22.326027397260273,203,C,L,R
