round,pick,team,slot_value
7,222,Toronto Blue Jays,262300
7,223,Los Angeles Dodgers,260300
8,224,Colorado Rockies,258400
8,225,Chicago White Sox,256500
8,226,Washington Nationals,254900
8,227,Minnesota Twins,253300
8,228,Pittsburgh Pirates,251500
8,229,Los Angeles Angels,249300
8,230,Baltimore Orioles,247900
8,231,Athletics,245800
8,232,Atlanta Braves,244500
8,233,Tampa Bay Rays,242700
8,234,St. Louis Cardinals,241000
8,235,Miami Marlins,239200
8,236,Arizona Diamondbacks,237800
8,237,Texas Rangers,236100
8,238,San Francisco Giants,234700
8,239,Kansas City Royals,233400
8,240,New York Mets,232100
8,241,Houston Astros,231000
8,242,Cincinnati Reds,229700
8,243,Cleveland Guardians,228600
8,244,Boston Red Sox,227200
8,245,San Diego Padres,226300
8,246,Detroit Tigers,225300
8,247,Chicago Cubs,224100
8,248,New York Yankees,223100
8,249,Philadelphia Phillies,222200
8,250,Seattle Mariners,220900
8,251,Milwaukee Brewers,220400
8,252,Toronto Blue Jays,219500
8,253,Los Angeles Dodgers,218500
9,254,Colorado Rockies,217800
9,255,Chicago White Sox,217000
9,256,Washington Nationals,216100
9,257,Minnesota Twins,215400
9,258,Pittsburgh Pirates,214800
9,259,Los Angeles Angels,213900
9,260,Baltimore Orioles,213300
9,261,Athletics,212600
9,262,Atlanta Braves,212000
9,263,Tampa Bay Rays,211200
9,264,St. Louis Cardinals,210600
9,265,Miami Marlins,210200
9,266,Arizona Diamondbacks,209500
9,267,Texas Rangers,209000
9,268,San Francisco Giants,208500
9,269,Kansas City Royals,207900
9,270,New York Mets,207200
9,271,Houston Astros,206800
9,272,Cincinnati Reds,206300
9,273,Cleveland Guardians,205800
9,274,Boston Red Sox,205400
9,275,San Diego Padres,205000
9,276,Detroit Tigers,204400
9,277,Chicago Cubs,204100
9,278,New York Yankees,203500
9,279,Philadelphia Phillies,202900
9,280,Seattle Mariners,202700
9,281,Milwaukee Brewers,202500
9,282,Toronto Blue Jays,202100
9,283,Los Angeles Dodgers,201700
10,284,Colorado Rockies,201500
10,285,Chicago White Sox,200900
10,286,Washington Nationals,200100
10,287,Minnesota Twins,199900
10,288,Pittsburgh Pirates,199500
10,289,Los Angeles Angels,199200
10,290,Baltimore Orioles,198900
10,291,Athletics,198600
10,292,Atlanta Braves,198300
10,293,Tampa Bay Rays,197900
10,294,St. Louis Cardinals,197400
10,295,Miami Marlins,197200
10,296,Arizona Diamondbacks,196500
10,297,Texas Rangers,196200
10,298,San Francisco Giants,196000
10,299,Kansas City Royals,195600
10,300,New York Mets,195200
10,301,Houston Astros,195000
10,302,Cincinnati Reds,194800
10,303,Cleveland Guardians,194500
10,304,Boston Red Sox,194000
10,305,San Diego Padres,193700
10,306,Detroit Tigers,193600
10,307,Chicago Cubs,193300
10,308,New York Yankees,193000
10,309,Philadelphia Phillies,192500
10,310,Seattle Mariners,192300
10,311,Milwaukee Brewers,191900
10,312,Toronto Blue Jays,191900
10,313,Los Angeles Dodgers,191900
11,314,Colorado Rockies,0
11,315,Chicago White Sox,0
11,316,Washington Nationals,0
11,317,Minnesota Twins,0
11,318,Pittsburgh Pirates,0
11,319,Los Angeles Angels,0
11,320,Baltimore Orioles,0
11,321,Athletics,0
11,322,Atlanta Braves,0
11,323,Tampa Bay Rays,0
11,324,St. Louis Cardinals,0
11,325,Miami Marlins,0
11,326,Arizona Diamondbacks,0
11,327,Texas Rangers,0
11,328,San Francisco Giants,0
11,329,Kansas City Royals,0
11,330,New York Mets,0
11,331,Houston Astros,0
11,332,Cincinnati Reds,0
11,333,Cleveland Guardians,0
11,334,Boston Red Sox,0
11,335,San Diego Padres,0
11,336,Detroit Tigers,0
11,337,Chicago Cubs,0
11,338,New York Yankees,0
11,339,Philadelphia Phillies,0
11,340,Seattle Mariners,0
11,341,Milwaukee Brewers,0
11,342,Toronto Blue Jays,0
11,343,Los Angeles Dodgers,0
12,344,Colorado Rockies,0
12,345,Chicago White Sox,0
12,346,Washington Nationals,0
12,347,Minnesota Twins,0
12,348,Pittsburgh Pirates,0
12,349,Los Angeles Angels,0
12,350,Baltimore Orioles,0
12,351,Athletics,0
12,352,Atlanta Braves,0
12,353,Tampa Bay Rays,0
12,354,St. Louis Cardinals,0
12,355,Miami Marlins,0
12,356,Arizona Diamondbacks,0
12,357,Texas Rangers,0
12,358,San Francisco Giants,0
12,359,Kansas City Royals,0
12,360,New York Mets,0
12,361,Houston Astros,0
12,362,Cincinnati Reds,0
12,363,Cleveland Guardians,0
12,364,Boston Red Sox,0
12,365,San Diego Padres,0
12,366,Detroit Tigers,0
12,367,Chicago Cubs,0
12,368,New York Yankees,0
12,369,Philadelphia Phillies,0
12,370,Seattle Mariners,0
12,371,Milwaukee Brewers,0
12,372,Toronto Blue Jays,0
12,373,Los Angeles Dodgers,0
13,374,Colorado Rockies,0
13,375,Chicago White Sox,0
13,376,Washington Nationals,0
13,377,Minnesota Twins,0
13,378,Pittsburgh Pirates,0
13,379,Los Angeles Angels,0
13,380,Baltimore Orioles,0
13,381,Athletics,0
13,382,Atlanta Braves,0
13,383,Tampa Bay Rays,0
13,384,St. Louis Cardinals,0
13,385,Miami Marlins,0
13,386,Arizona Diamondbacks,0
13,387,Texas Rangers,0
13,388,San Francisco Giants,0
13,389,Kansas City Royals,0
13,390,New York Mets,0
13,391,Houston Astros,0
13,392,Cincinnati Reds,0
13,393,Cleveland Guardians,0
13,394,Boston Red Sox,0
13,395,San Diego Padres,0
13,396,Detroit Tigers,0
13,397,Chicago Cubs,0
13,398,New York Yankees,0
13,399,Philadelphia Phillies,0
13,400,Seattle Mariners,0
13,401,Milwaukee Brewers,0
13,402,Toronto Blue Jays,0
13,403,Los Angeles Dodgers,0
14,404,Colorado Rockies,0
14,405,Chicago White Sox,0
14,406,Washington Nationals,0
14,407,Minnesota Twins,0
14,408,Pittsburgh Pirates,0
14,409,Los Angeles Angels,0
14,410,Baltimore Orioles,0
14,411,Athletics,0
14,412,Atlanta Braves,0
14,413,Tampa Bay Rays,0
14,414,St. Louis Cardinals,0
14,415,Miami Marlins,0
14,416,Arizona Diamondbacks,0
14,417,Texas Rangers,0
14,418,San Francisco Giants,0
14,419,Kansas City Royals,0
14,420,New York Mets,0
14,421,Houston Astros,0
14,422,Cincinnati Reds,0
14,423,Cleveland Guardians,0
14,424,Boston Red Sox,0
14,425,San Diego Padres,0
14,426,Detroit Tigers,0
14,427,Chicago Cubs,0
14,428,New York Yankees,0
14,429,Philadelphia Phillies,0
14,430,Seattle Mariners,0
14,431,Milwaukee Brewers,0
14,432,Toronto Blue Jays,0
14,433,Los Angeles Dodgers,0
15,434,Colorado Rockies,0
15,435,Chicago White Sox,0
15,436,Washington Nationals,0
15,437,Minnesota Twins,0
15,438,Pittsburgh Pirates,0
15,439,Los Angeles Angels,0
15,440,Baltimore Orioles,0
15,441,Athletics,0
15,442,Atlanta Braves,0
15,443,Tampa Bay Rays,0
15,444,St. Louis Cardinals,0
15,445,Miami Marlins,0
15,446,Arizona Diamondbacks,0
15,447,Texas Rangers,0
15,448,San Francisco Giants,0
15,449,Kansas City Royals,0
15,450,New York Mets,0
15,451,Houston Astros,0
15,452,Cincinnati Reds,0
15,453,Cleveland Guardians,0
15,454,Boston Red Sox,0
15,455,San Diego Padres,0
15,456,Detroit Tigers,0
15,457,Chicago Cubs,0
15,458,New York Yankees,0
15,459,Philadelphia Phillies,0
15,460,Seattle Mariners,0
15,461,Milwaukee Brewers,0
15,462,Toronto Blue Jays,0
15,463,Los Angeles Dodgers,0
16,464,Colorado Rockies,0
16,465,Chicago White Sox,0
16,466,Washington Nationals,0
16,467,Minnesota Twins,0
16,468,Pittsburgh Pirates,0
16,469,Los Angeles Angels,0
16,470,Baltimore Orioles,0
16,471,Athletics,0
16,472,Atlanta Braves,0
16,473,Tampa Bay Rays,0
16,474,St. Louis Cardinals,0
16,475,Miami Marlins,0
16,476,Arizona Diamondbacks,0
16,477,Texas Rangers,0
16,478,San Francisco Giants,0
16,479,Kansas City Royals,0
16,480,New York Mets,0
16,481,Houston Astros,0
16,482,Cincinnati Reds,0
16,483,Cleveland Guardians,0
16,484,Boston Red Sox,0
16,485,San Diego Padres,0
16,486,Detroit Tigers,0
16,487,Chicago Cubs,0
16,488,New York Yankees,0
16,489,Philadelphia Phillies,0
16,490,Seattle Mariners,0
16,491,Milwaukee Brewers,0
16,492,Toronto Blue Jays,0
16,493,Los Angeles Dodgers,0
17,494,Colorado Rockies,0
17,495,Chicago White Sox,0
17,496,Washington Nationals,0
17,497,Minnesota Twins,0
17,498,Pittsburgh Pirates,0
17,499,Los Angeles Angels,0
17,500,Baltimore Orioles,0
17,501,Athletics,0
17,502,Atlanta Braves,0
17,503,Tampa Bay Rays,0
17,504,St. Louis Cardinals,0
17,505,Miami Marlins,0
17,506,Arizona Diamondbacks,0
17,507,Texas Rangers,0
17,508,San Francisco Giants,0
17,509,Kansas City Royals,0
17,510,New York Mets,0
17,511,Houston Astros,0
17,512,Cincinnati Reds,0
17,513,Cleveland Guardians,0
17,514,Boston Red Sox,0
17,515,San Diego Padres,0
17,516,Detroit Tigers,0
17,517,Chicago Cubs,0
17,518,New York Yankees,0
17,519,Philadelphia Phillies,0
17,520,Seattle Mariners,0
17,521,Milwaukee Brewers,0
17,522,Toronto Blue Jays,0
17,523,Los Angeles Dodgers,0
18,524,Colorado Rockies,0
18,525,Chicago White Sox,0
18,526,Washington Nationals,0
18,527,Minnesota Twins,0
18,528,Pittsburgh Pirates,0
18,529,Los Angeles Angels,0
18,530,Baltimore Orioles,0
18,531,Athletics,0
18,532,Atlanta Braves,0
18,533,Tampa Bay Rays,0
18,534,St. Louis Cardinals,0
18,535,Miami Marlins,0
18,536,Arizona Diamondbacks,0
18,537,Texas Rangers,0
18,538,San Francisco Giants,0
18,539,Kansas City Royals,0
18,540,New York Mets,0
18,541,Houston Astros,0
18,542,Cincinnati Reds,0
18,543,Cleveland Guardians,0
18,544,Boston Red Sox,0
18,545,San Diego Padres,0
18,546,Detroit Tigers,0
18,547,Chicago Cubs,0
18,548,New York Yankees,0
18,549,Philadelphia Phillies,0
18,550,Seattle Mariners,0
18,551,Milwaukee Brewers,0
18,552,Toronto Blue Jays,0
18,553,Los Angeles Dodgers,0
19,554,Colorado Rockies,0
19,555,Chicago White Sox,0
19,556,Washington Nationals,0
19,557,Minnesota Twins,0
19,558,Pittsburgh Pirates,0
19,559,Los Angeles Angels,0
19,560,Baltimore Orioles,0
19,561,Athletics,0
19,562,Atlanta Braves,0
19,563,Tampa Bay Rays,0
19,564,St. Louis Cardinals,0
19,565,Miami Marlins,0
19,566,Arizona Diamondbacks,0
19,567,Texas Rangers,0
19,568,San Francisco Giants,0
19,569,Kansas City Royals,0
19,570,New York Mets,0
19,571,Houston Astros,0
19,572,Cincinnati Reds,0
19,573,Cleveland Guardians,0
19,574,Boston Red Sox,0
19,575,San Diego Padres,0
19,576,Detroit Tigers,0
19,577,Chicago Cubs,0
19,578,New York Yankees,0
19,579,Philadelphia Phillies,0
19,580,Seattle Mariners,0
19,581,Milwaukee Brewers,0
19,582,Toronto Blue Jays,0
19,583,Los Angeles Dodgers,0
20,584,Colorado Rockies,0
20,585,Chicago White Sox,0
20,586,Washington Nationals,0
20,587,Minnesota Twins,0
20,588,Pittsburgh Pirates,0
20,589,Los Angeles Angels,0
20,590,Baltimore Orioles,0
20,591,Athletics,0
20,592,Atlanta Braves,0
20,593,Tampa Bay Rays,0
20,594,St. Louis Cardinals,0
20,595,Miami Marlins,0
20,596,Arizona Diamondbacks,0
20,597,Texas Rangers,0
20,598,San Francisco Giants,0
20,599,Kansas City Royals,0
20,600,New York Mets,0
20,601,Houston Astros,0
20,602,Cincinnati Reds,0
20,603,Cleveland Guardians,0
20,604,Boston Red Sox,0
20,605,San Diego Padres,0
20,606,Detroit Tigers,0
20,607,Chicago Cubs,0
20,608,New York Yankees,0
20,609,Philadelphia Phillies,0
20,610,Seattle Mariners,0
20,611,Milwaukee Brewers,0
20,612,Toronto Blue Jays,0
20,613,Los Angeles Dodgers,0
